english,vietnamese
the,các
be,thì là ở
and,và
of,của
a,một
in,Trong
to,đến
have,có
it,nó
I,Tôi
that,điều đó
for,vì
you,bạn
he,anh ta
with,với
on,trên
do,làm
say,Nói
this,cái này
they,họ
at,tại
but,nhưng
we,chúng tôi
his,của anh
from,từ
not,không phải
by,qua
she,bà ấy
or,hoặc
as,như
what,Gì
go,đi
their,của họ
can,có thể
who,Ai
get,được
if,nếu
would,sẽ
her,của cô
all,tất cả các
my,của tôi
make,chế tạo
about,xung quanh
know,biết rôi
will,sẽ
up,hướng lên
one,một
time,thời gian
there,ở đó
year,năm
so,Vì thế
think,nghĩ
when,khi nào
which,cái mà
them,họ
some,một số
me,tôi
people,Mọi người
take,cầm lấy
out,ngoài
into,vào trong
just,chỉ cần
see,xem
him,anh ta
your,của bạn
come,đến
could,có thể
now,hiện nay
than,hơn
like,Thích
other,khác
how,thế nào
then,sau đó
its,nó là
our,của chúng ta
two,hai
more,hơn
these,này
want,muốn
way,đường
look,nhìn
first,đầu tiên
also,Mà còn
new,Mới
because,bởi vì
day,ngày
use,sử dụng
no,không
man,Đàn ông
find,tìm thấy
here,đây
thing,Điều
give,cho
many,nhiều
well,ổn
only,chỉ có
those,"những, cái đó"
tell,kể
very,rất
even,thậm chí
back,trở lại
any,không tí nào
good,tốt
woman,người đàn bà
through,xuyên qua
us,chúng ta
life,mạng sống
child,trẻ em
work,công việc
down,xuống
may,có thể
after,sau đó
should,Nên
call,cuộc gọi
world,thế giới
over,trên
school,trường học
still,vẫn
try,cố gắng
last,Cuối cùng
ask,hỏi
need,cần
too,quá
feel,cảm xúc
three,số ba
state,tiểu bang
never,chẳng bao giờ
become,trở thành
between,ở giữa
high,cao
really,Thực ra
something,thứ gì đó
most,phần lớn
another,nữa
much,nhiều
family,gia đình
own,riêng
leave,rời khỏi
put,đặt
old,cũ
while,trong khi
mean,bần tiện
keep,giữ
student,sinh viên
why,tại sao
let,để cho
great,tuyệt vời
same,như nhau
big,to lớn
group,tập đoàn
begin,bắt đầu
seem,có vẻ
country,quốc gia
help,Cứu giúp
talk,nói chuyện
where,ở đâu
turn,xoay
problem,vấn đề
every,mọi
start,bắt đầu
hand,tay
might,có thể
American,Người Mỹ
show,trình diễn
part,phần
against,chống lại
place,nơi
such,như là
again,lần nữa
few,một vài
case,trường hợp
week,tuần
company,Công ty
system,hệ thống
each,mỗi
right,đúng
program,chương trình
hear,Nghe
question,câu hỏi
during,suốt trong
play,chơi
government,chính quyền
run,chạy
small,bé nhỏ
number,con số
off,tắt
always,luôn
move,di chuyển
night,đêm
live,sống
Mr,Ông
point,điểm
believe,tin
hold,tổ chức
today,hôm nay
bring,mang đến
happen,cắn
next,tiếp theo
without,không có
before,trước
large,lớn
million,triệu
must,phải
home,Trang Chủ
under,Dưới
water,nước
room,phòng
write,viết
mother,người mẹ
area,diện tích
national,Quốc gia
money,tiền bạc
story,câu chuyện
young,trẻ tuổi
fact,sự thật
month,tháng
different,khác biệt
lot,nhiều
study,học
book,sách
eye,con mắt
job,Công việc
word,từ
though,Tuy nhiên
business,kinh doanh
issue,số báo
side,cạnh
kind,Tốt bụng
four,Bốn
head,cái đầu
far,xa
black,đen
long,Dài
both,cả hai
little,ít
house,nhà ở
yes,Vâng
since,từ
provide,cung cấp
service,dịch vụ
around,xung quanh
friend,bạn
important,quan trọng
father,cha
sit,ngồi
away,xa
until,cho đến khi
power,sức mạnh
hour,giờ
game,trò chơi
often,thường
yet,chưa
line,dòng
political,chính trị
end,chấm dứt
among,giữa
ever,bao giờ
stand,đứng
bad,xấu
lose,mất
however,Tuy vậy
member,hội viên
pay,trả
law,pháp luật
meet,gặp nhau
car,xe ô tô
city,thành phố
almost,gần như
include,bao gồm
continue,tiếp tục
set,bộ
later,sau
community,cộng đồng
name,Tên
five,năm
once,Một lần
white,trắng
least,ít nhất
president,chủ tịch
learn,học hỏi
real,thực
change,biến đổi
team,đội
minute,phút
best,tốt
several,một số
idea,ý tưởng
